hashtag;timestamp;cnt;followers_count;log_followers_count
apple;2018-06-06 05:00:00;394;3106736;2265.5739404239075
apple;2018-06-06 06:00:00;368;2609241;2267.872420661219
apple;2018-06-06 07:00:00;573;11295097;3410.398840014704
apple;2018-06-06 08:00:00;541;4763361;3484.478574970273
apple;2018-06-06 09:00:00;489;3829123;3219.107383237624
apple;2018-06-06 10:00:00;458;3495191;2748.9289301733825
apple;2018-06-06 11:00:00;474;9252665;2980.491839192306
apple;2018-06-06 12:00:00;563;6086287;3454.7449785500003
apple;2018-06-06 13:00:00;596;3266181;3430.232576314928
apple;2018-06-06 14:00:00;747;10154143;4314.3826280359635
apple;2018-06-06 15:00:00;708;5316484;3653.6658219315277
apple;2018-06-06 16:00:00;635;3451048;3466.5508845690874
apple;2018-06-06 17:00:00;572;3090180;3404.589226079741
apple;2018-06-06 18:00:00;512;5333170;3207.597223047127
apple;2018-06-06 19:00:00;518;7952511;3222.0137596450845
apple;2018-06-06 20:00:00;444;3129970;2712.67678068279
apple;2018-06-06 21:00:00;397;3625760;2428.7119002098216
apple;2018-06-06 22:00:00;380;3548851;2326.3875865888676
apple;2018-06-06 23:00:00;354;4501995;2241.6529316795886
apple;2018-06-07 00:00:00;352;3139630;2186.29380891852
apple;2018-06-07 01:00:00;314;2933460;1878.2885846259644
apple;2018-06-07 02:00:00;291;2849595;1831.6768114710217
apple;2018-06-07 03:00:00;346;7385743;1872.7256743934884
apple;2018-06-07 04:00:00;273;3806899;1688.124499145532
apple;2018-06-07 05:00:00;297;3741599;1874.380758317354
apple;2018-06-07 06:00:00;368;4096479;2351.645835385193
apple;2018-06-07 07:00:00;447;2519573;2787.35835395495
apple;2018-06-07 08:00:00;373;11344494;2386.511394945061
apple;2018-06-07 09:00:00;395;5533601;2565.1759006270026
apple;2018-06-07 10:00:00;486;5568277;2873.0230966509753
apple;2018-06-07 11:00:00;410;3063644;2522.580592805165
apple;2018-06-07 12:00:00;432;3239711;2656.0196688832016
apple;2018-06-07 13:00:00;434;5514288;2578.0982315172682
apple;2018-06-07 14:00:00;530;5370459;3131.367670229474
apple;2018-06-07 15:00:00;522;3801351;3148.2958035413017
apple;2018-06-07 16:00:00;511;4228963;2988.0373682735167
apple;2018-06-07 17:00:00;470;3185992;3027.199559272216
apple;2018-06-07 18:00:00;396;3583546;2502.537904214433
apple;2018-06-07 19:00:00;348;2259287;2226.572077040927
apple;2018-06-07 20:00:00;373;2776801;2374.1112581006473
apple;2018-06-07 21:00:00;353;2622382;2205.0864582727672
apple;2018-06-07 22:00:00;383;2766137;2365.0270847146385
apple;2018-06-07 23:00:00;314;2573599;2055.408178513279
